통계년월,통계시도명,통계시군구명,수급자구분,성별,연령구간,수급자수
201905,서울특별시,용산구,특례수급자,남성,70~74세,17
201905,서울특별시,용산구,특례수급자,남성,75~79세,16
201905,서울특별시,용산구,특례수급자,남성,80~89세,17
201905,서울특별시,용산구,특례수급자,여성,7~12세,2
201905,서울특별시,용산구,특례수급자,여성,13~15세,3
201905,서울특별시,용산구,특례수급자,여성,19~29세,4
201905,서울특별시,용산구,특례수급자,여성,30~39세,3
201905,서울특별시,용산구,특례수급자,여성,40~49세,8
201905,서울특별시,용산구,특례수급자,여성,50~59세,21
201905,서울특별시,용산구,특례수급자,여성,60~64세,8
201905,서울특별시,용산구,특례수급자,여성,65~69세,20
201905,서울특별시,용산구,특례수급자,여성,70~74세,30
201905,서울특별시,용산구,특례수급자,여성,75~79세,32
201905,서울특별시,용산구,특례수급자,여성,80~89세,38
201905,서울특별시,용산구,특례수급자,여성,90세이상,6
201905,서울특별시,용산구,일반수급자,남성,65~69세,372
201905,서울특별시,용산구,일반수급자,남성,7~12세,122
201905,서울특별시,용산구,일반수급자,남성,70~74세,281
201905,서울특별시,용산구,일반수급자,남성,75~79세,206
201905,서울특별시,용산구,일반수급자,남성,80~89세,138
201905,서울특별시,용산구,일반수급자,남성,90세이상,14
201905,서울특별시,용산구,일반수급자,여성,7세미만,33
201905,서울특별시,용산구,일반수급자,여성,7~12세,109
201905,서울특별시,용산구,일반수급자,여성,13~15세,81
201905,서울특별시,용산구,일반수급자,여성,16~18세,118
201905,서울특별시,용산구,일반수급자,남성,7세미만,50
201905,서울특별시,용산구,일반수급자,여성,19~29세,105
201905,서울특별시,용산구,일반수급자,여성,30~39세,104
201905,서울특별시,용산구,일반수급자,남성,13~15세,97
201905,서울특별시,용산구,일반수급자,여성,40~49세,221
201905,서울특별시,용산구,일반수급자,여성,50~59세,294
201905,서울특별시,용산구,일반수급자,여성,60~64세,182
201905,서울특별시,용산구,일반수급자,여성,65~69세,247
201905,서울특별시,용산구,일반수급자,여성,70~74세,282
201905,서울특별시,용산구,일반수급자,여성,75~79세,310
201905,서울특별시,용산구,일반수급자,여성,80~89세,396
201905,서울특별시,용산구,일반수급자,여성,90세이상,66
201905,서울특별시,용산구,조건부수급자,남성,7세미만,4
201905,서울특별시,용산구,조건부수급자,남성,7~12세,19
201905,서울특별시,용산구,조건부수급자,남성,13~15세,16
201905,서울특별시,용산구,조건부수급자,남성,16~18세,25
201905,서울특별시,용산구,조건부수급자,남성,19~29세,47
201905,서울특별시,용산구,조건부수급자,남성,30~39세,18
201905,서울특별시,용산구,조건부수급자,남성,40~49세,82
201905,서울특별시,용산구,일반수급자,남성,16~18세,142
201905,서울특별시,용산구,조건부수급자,남성,50~59세,150
201905,서울특별시,용산구,조건부수급자,남성,60~64세,62
201905,서울특별시,용산구,조건부수급자,남성,65~69세,5
201905,서울특별시,용산구,조건부수급자,남성,70~74세,2
201905,서울특별시,용산구,조건부수급자,남성,75~79세,1
201905,서울특별시,용산구,조건부수급자,남성,80~89세,1
201905,서울특별시,용산구,조건부수급자,여성,7세미만,7
201905,서울특별시,용산구,조건부수급자,여성,7~12세,16
201905,서울특별시,용산구,조건부수급자,여성,13~15세,10
201905,서울특별시,용산구,조건부수급자,여성,16~18세,20
201905,서울특별시,용산구,조건부수급자,여성,19~29세,52
201905,서울특별시,성동구,조건부수급자,여성,19~29세,171
201905,서울특별시,성동구,조건부수급자,여성,30~39세,37
201905,서울특별시,성동구,조건부수급자,여성,40~49세,153
